"Cidade","População"
"Una","19002"
"Várzea Nova","12697"
"Vera Cruz","43223"
"Belágua","7469"
"Bom Jardim","80814"
"Bom Lugar","16294"
"Buriti","28678"
"Caxias","164880"
"Conceição do Lago-Açu","16237"
"Governador Nunes Freire","25577"
"Humberto de Campos","28717"
"Imperatriz","258682"
"Itinga do Maranhão","26000"
"Lago da Pedra","50266"
"Mata Roma","16829"
"Matinha","23370"
"Mirador","21015"
"Presidente Juscelino","12734"
"Ribamar Fiquene","7791"
"Santa Luzia do Paruá","25254"
"São Domingos do Maranhão","34376"
"São João do Carú","15808"
"São Vicente Ferrer","40265"
"Senador La Rocque","14293"
"Turiaçu","35604"
"Urbano Santos","33122"
"Alvorada do Gurguéia","5419"
"Bonfim do Piauí","5670"
"Colônia do Gurguéia","6484"
"Francinópolis","5348"
"Morro Cabeça no Tempo","4532"
"São José do Divino","5346"
"São José do Peixe","3745"
"São Luis do Piauí","2644"
"Vila Nova do Piauí","2971"
"Acopiara","54270"
"Ararendá","10935"
"Cedro","37364"
"Chaval","13069"
"Fortim","16480"
"General Sampaio","7618"
"Icapuí","19934"
"Iguatu","102498"
"Jucás","24833"
"Limoeiro do Norte","59540"
"Mombaça","43797"
"Monsenhor Tabosa","17234"
"Novo Oriente","28607"
"Pacatuba","97860"
"Quixadá","87728"
"Santana do Cariri","17700"
"Tauá","58859"
"Tianguá","75946"
"Antônio Martins","7145"
"Bento Fernandes","5497"
"Taboleiro Grande","2566"
"Congo","4786"
"Gurinhém","14129"
"Itapororoca","18664"
"Massaranduba","13918"
"Maturéia","6569"
"Pilar","47028"
"Remígio","19621"
"São José de Espinharas","4682"
"São José dos Ramos","5957"
"Aliança","38386"
"Altinho","22972"
"Belo Jardim","76439"
"Bom Conselho","48554"
"Bonito","38134"
"Cachoeirinha","20380"
"Chã de Alegria","13518"
"Fernando de Noronha","3061"
"Floresta","32873"
"Joaquim Nabuco","16023"
"Jucati","11424"
"Lagoa do Carro","18071"
"Lagoa de Itaenga","21429"
"Orocó","14991"
"Paudalho","56506"
"Petrolina","349145"
"Quipapá","26037"
"Ribeirão","47415"
"São José do Belmonte","33959"
"Serra Talhada","86350"
"Sertânia","35907"
"Sirinhaém","45865"
"Campo Alegre","57063"
"Delmiro Gouveia","52016"
"Flexeiras","12790"
"Jequiá da Praia","11580"
"Limoeiro de Anadia","28635"
"Murici","28236"
"Pindoba","2908"
"Poço das Trincheiras","14386"
"São Luís do Quitunde","34555"
"Taquarana","19980"
"Viçosa","25733"
"Aracaju","657013"
"Arauá","10056"
"Estância","69184"
"Japoatã","13434"
"Malhada dos Bois","3682"
"Nossa Senhora da Glória","36924"
"Nossa Senhora das Dores","26629"
"Pinhão","6576"
"Aurelino Leal","11531"
"Camaçari","299132"
"Campo Alegre de Lourdes","28798"
"Castro Alves","26264"
"Cravolândia","5349"
"Euclides da Cunha","60585"
"Feira de Santana","614872"
"Ibotirama","26927"
"Ipiaú","45873"
"Irecê","72967"
"Itapicuru","35576"
"Itarantim","19747"
"Jitaúna","11166"
"Morpará","8519"
"Nazaré","28525"
"Nova Soure","26947"
"Prado","28174"
"Presidente Tancredo Neves","27719"
"Rafael Jambeiro","22621"
"Rio Real","40732"
"Santa Bárbara","20791"
"Santo Antônio de Jesus","101512"
"São Sebastião do Passé","44300"
"Saúde","12913"
"Serra Preta","14878"
"Utinga","19178"
"Valença","96562"
"Açailândia","112445"
"Alcântara","22097"
"Arari","29848"
"Barra do Corda","88212"
"Buriti Bravo","23884"
"Buriticupu","72358"
"Cajapió","11177"
"Carutapera","23807"
"Centro Novo do Maranhão","21622"
"Chapadinha","79675"
"Codó","122859"
"Grajaú","69527"
"Lima Campos","11893"
"Luís Domingues","6951"
"Morros","19433"
"Nova Olinda do Maranhão","20928"
"Presidente Dutra","62946"
"Santa Quitéria do Maranhão","25642"
"Santana do Maranhão","13386"
"São João Batista","20665"
"São José de Ribamar","177687"
"São Pedro da Água Branca","12690"
"Angical do Piauí","6788"
